cell,truth,T,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D6_timevarying_r,,33,11.8,26,M4_delayed_info,27.42770722075948,53.1514955199131,17.079055922378824,18.04716892214436,False
D6_timevarying_r,,33,11.8,27,M1_autonomous_Schaefer,17.832356786634502,16.408950618965477,17.758048197401738,19.47379688558585,False
D6_timevarying_r,,33,11.8,27,M1b_autonomous_Allee,14.878910218585164,21.12060481407719,17.758048197401738,19.47379688558585,False
D6_timevarying_r,,33,11.8,27,M2_stockflow_regimeC,81.36315547001743,358.8672167476278,17.758048197401738,19.47379688558585,False
D6_timevarying_r,,33,11.8,27,M3_AR_residual,43.40375982516201,313.47253406109957,17.758048197401738,19.47379688558585,False
D6_timevarying_r,,33,11.8,27,M4_delayed_info,75.82706336598156,370.76039328647767,17.758048197401738,19.47379688558585,False
D6_timevarying_r,,33,11.8,28,M1_autonomous_Schaefer,15.980610850940648,14.931702097552733,16.339540312915453,18.913345613556448,False
D6_timevarying_r,,33,11.8,28,M1b_autonomous_Allee,16.52773754420039,16.635520269350085,16.339540312915453,18.913345613556448,False
D6_timevarying_r,,33,11.8,28,M2_stockflow_regimeC,78.6346762751859,175.77090188307145,16.339540312915453,18.913345613556448,False
D6_timevarying_r,,33,11.8,28,M3_AR_residual,28.627790651107,119.12558071720292,16.339540312915453,18.913345613556448,False
D6_timevarying_r,,33,11.8,28,M4_delayed_info,36.929985395014725,130.39165848594217,16.339540312915453,18.913345613556448,False
D6_timevarying_r,,33,11.8,29,M1_autonomous_Schaefer,12.812612241384175,13.772190963296156,15.949069229588785,15.668824515050174,True
D6_timevarying_r,,33,11.8,29,M1b_autonomous_Allee,15.652139669811438,19.25067911275098,15.949069229588785,15.668824515050174,False
D6_timevarying_r,,33,11.8,29,M2_stockflow_regimeC,78.8504202310756,103.01504317561722,15.949069229588785,15.668824515050174,False
D6_timevarying_r,,33,11.8,29,M3_AR_residual,26.179427604549264,77.11144087113921,15.949069229588785,15.668824515050174,False
D6_timevarying_r,,33,11.8,29,M4_delayed_info,32.578432270299004,80.33242876368364,15.949069229588785,15.668824515050174,False
D6_timevarying_r,,33,33.8,0,M1_autonomous_Schaefer,28.61002365277457,31.274188712962804,34.00124237734717,46.65675756829883,True
D6_timevarying_r,,33,33.8,0,M1b_autonomous_Allee,30.30541003650922,57.56356087591943,34.00124237734717,46.65675756829883,False
D6_timevarying_r,,33,33.8,0,M2_stockflow_regimeC,83.35501320761618,255.86056705387682,34.00124237734717,46.65675756829883,False
D6_timevarying_r,,33,33.8,0,M3_AR_residual,56.57130702295607,242.98309396569505,34.00124237734717,46.65675756829883,False
D6_timevarying_r,,33,33.8,0,M4_delayed_info,86.54233398456446,259.2922783724876,34.00124237734717,46.65675756829883,False
D6_timevarying_r,,33,33.8,1,M1_autonomous_Schaefer,41.24428579508784,39.37578807854247,55.702217522148075,56.13380429495587,True
D6_timevarying_r,,33,33.8,1,M1b_autonomous_Allee,45.738180529274,43.15174454986351,55.702217522148075,56.13380429495587,False
D6_timevarying_r,,33,33.8,1,M2_stockflow_regimeC,92.28769973452938,105.56926785031436,55.702217522148075,56.13380429495587,False
