K,period,mode,state,real,imag,real_lo_1ulp,real_hi_1ulp,imag_lo_1ulp,imag_hi_1ulp
120,370.93117783955665,-101,E,2.3384987652436223e-12,-1.0119126843404708e-11,2.3384987652436219e-12,2.3384987652436227e-12,-1.0119126843404709e-11,-1.0119126843404706e-11
120,370.93117783955665,-100,N,2.5771797339469116e-13,2.0501780420995432e-13,2.5771797339469111e-13,2.5771797339469121e-13,2.0501780420995429e-13,2.0501780420995434e-13
120,370.93117783955665,-100,A,-2.3850697321165628e-14,-1.0846459465581578e-14,-2.3850697321165632e-14,-2.3850697321165625e-14,-1.084645946558158e-14,-1.0846459465581577e-14
120,370.93117783955665,-100,Z,2.7320861923543403e-12,1.2927634007772702e-13,2.7320861923543399e-12,2.7320861923543407e-12,1.2927634007772699e-13,1.2927634007772704e-13
120,370.93117783955665,-100,E,-7.5324322785913401e-12,1.0291866867149119e-11,-7.5324322785913417e-12,-7.5324322785913385e-12,1.0291866867149117e-11,1.0291866867149121e-11
120,370.93117783955665,-99,N,-1.9332372108579364e-13,-3.6308637904377092e-13,-1.9332372108579367e-13,-1.9332372108579362e-13,-3.6308637904377097e-13,-3.6308637904377087e-13
120,370.93117783955665,-99,A,-3.5835244612292655e-14,-3.944438435984626e-14,-3.5835244612292661e-14,-3.5835244612292649e-14,-3.9444384359846267e-14,-3.9444384359846254e-14
120,370.93117783955665,-99,Z,-2.8678554916279133e-12,-1.6843117493943214e-12,-2.8678554916279137e-12,-2.8678554916279129e-12,-1.6843117493943216e-12,-1.6843117493943211e-12
120,370.93117783955665,-99,E,1.3482319921183838e-11,-7.9784315335126591e-12,1.3482319921183837e-11,1.348231992118384e-11,-7.9784315335126607e-12,-7.9784315335126575e-12
120,370.93117783955665,-98,N,4.4155817855071137e-14,5.0222565237240851e-13,4.4155817855071131e-14,4.4155817855071144e-14,5.0222565237240841e-13,5.0222565237240861e-13
120,370.93117783955665,-98,A,2.6462213925488989e-14,-1.6200820722828666e-14,2.6462213925488986e-14,2.6462213925488993e-14,-1.6200820722828669e-14,-1.6200820722828663e-14
120,370.93117783955665,-98,Z,2.13496254219041e-12,3.4357836121436453e-12,2.1349625421904096e-12,2.1349625421904104e-12,3.4357836121436449e-12,3.4357836121436457e-12
120,370.93117783955665,-98,E,-1.908722085110443e-11,2.4898222749560602e-12,-1.9087220851104434e-11,-1.9087220851104427e-11,2.4898222749560598e-12,2.4898222749560606e-12
120,370.93117783955665,-97,N,1.9522870184562576e-13,-5.9957666534191304e-13,1.9522870184562574e-13,1.9522870184562579e-13,-5.9957666534191314e-13,-5.9957666534191293e-13
120,370.93117783955665,-97,A,-1.9722397300638811e-14,-5.426845552373725e-14,-1.9722397300638814e-14,-1.9722397300638808e-14,-5.4268455523737256e-14,-5.4268455523737243e-14
120,370.93117783955665,-97,Z,-3.5514988424382158e-13,-4.9079971244301861e-12,-3.5514988424382164e-13,-3.5514988424382153e-13,-4.9079971244301869e-12,-4.9079971244301853e-12
120,370.93117783955665,-97,E,2.276948165157972e-11,6.420545329132971e-12,2.2769481651579717e-11,2.2769481651579723e-11,6.4205453291329702e-12,6.4205453291329719e-12
120,370.93117783955665,-96,N,-5.1482694511562086e-13,5.8616222433861848e-13,-5.1482694511562096e-13,-5.1482694511562076e-13,5.8616222433861838e-13,5.8616222433861858e-13
120,370.93117783955665,-96,A,9.3125411967101142e-15,1.8126527757098893e-14,9.3125411967101126e-15,9.3125411967101158e-15,1.8126527757098889e-14,1.8126527757098896e-14
120,370.93117783955665,-96,Z,-2.3950034208830463e-12,5.4875127166459434e-12,-2.3950034208830467e-12,-2.3950034208830459e-12,5.4875127166459426e-12,5.4875127166459442e-12
120,370.93117783955665,-96,E,-2.2625951859177157e-11,-1.8272929122680316e-11,-2.262595185917716e-11,-2.2625951859177153e-11,-1.8272929122680319e-11,-1.8272929122680313e-11
120,370.93117783955665,-95,N,8.7571850136092776e-13,-4.1554100324545438e-13,8.7571850136092766e-13,8.7571850136092786e-13,-4.1554100324545443e-13,-4.1554100324545433e-13
120,370.93117783955665,-95,A,7.913846759215154e-15,-3.359747600836848e-14,7.9138467592151524e-15,7.9138467592151556e-15,-3.3597476008368486e-14,-3.3597476008368473e-14
120,370.93117783955665,-95,Z,5.6863334825570753e-12,-4.5563002250960192e-12,5.6863334825570745e-12,5.6863334825570761e-12,-4.55630022509602e-12,-4.5563002250960184e-12
120,370.93117783955665,-95,E,1.6736417155772741e-11,3.1606901088390603e-11,1.6736417155772738e-11,1.6736417155772745e-11,3.1606901088390597e-11,3.160690108839061e-11
120,370.93117783955665,-94,N,-1.2063745856239817e-12,5.0407614409625621e-14,-1.2063745856239819e-12,-1.2063745856239815e-12,5.0407614409625615e-14,5.0407614409625627e-14
120,370.93117783955665,-94,A,3.4798593766473264e-15,3.4887531365241677e-14,3.479859376647326e-15,3.4798593766473268e-15,3.4887531365241671e-14,3.4887531365241684e-14
120,370.93117783955665,-94,Z,-8.7068963371817377e-12,1.6905126207071042e-12,-8.7068963371817393e-12,-8.7068963371817361e-12,1.690512620707104e-12,1.6905126207071044e-12
